,ISO3
1,AFG
2,AGO
3,ALB
4,ARE
5,ARG
6,ARM
7,AUS
8,AUT
9,AZE
10,BDI
11,BEL
12,BEN
13,BFA
14,BGD
15,BGR
16,BHS
17,BIH
18,BLR
19,BLZ
20,BOL
21,BRA
22,BRN
23,BTN
24,BWA
25,CAF
26,CAN
27,CHE
28,CHL
29,CHN
30,CIV
31,CMR
32,COD
33,COG
34,COL
35,COM
36,CPV
37,CRI
38,CUB
39,CYP
40,CZE
41,DEU
42,DJI
43,DNK
44,DOM
45,DZA
46,ECU
47,EGY
48,ERI
49,ESP
50,EST
51,ETH
52,FIN
53,FJI
54,FRA
55,GAB
56,GBR
57,GEO
58,GHA
59,GIN
60,GMB
61,GNB
62,GNQ
63,GRC
64,GTM
65,GUY
66,HND
67,HRV
68,HTI
69,HUN
70,IDN
71,IND
72,IRL
73,IRN
74,IRQ
75,ISL
76,ISR
77,ITA
78,JAM
79,JOR
80,JPN
81,KAZ
82,KEN
83,KGZ
84,KHM
85,KOR
86,KWT
87,LAO
88,LBN
89,LBR
90,LBY
91,LKA
92,LSO
93,LTU
94,LUX
95,LVA
96,MAR
97,MDA
98,MDG
99,MEX
100,MKD
101,MLI
102,MMR
103,MNE
104,MNG
105,MOZ
106,MRT
107,MUS
108,MWI
109,MYS
110,NAM
111,NCL
112,NER
113,NGA
114,NIC
115,NLD
116,NOR
117,NPL
118,NZL
119,OMN
120,PAK
121,PAN
122,PER
123,PHL
124,PNG
125,POL
126,PRT
127,PRY
128,QAT
129,ROU
130,RUS
131,RWA
132,SAU
133,SDN
134,SEN
135,SLB
136,SLE
137,SLV
138,SOM
139,SRB
140,STP
141,SUR
142,SVK
143,SVN
144,SWE
145,SWZ
146,SYR
147,TCD
148,TGO
149,THA
150,TJK
151,TKM
152,TTO
153,TUN
154,TUR
155,TZA
156,UGA
157,UKR
158,URY
159,USA
160,UZB
161,VCT
162,VEN
163,VNM
164,VUT
165,WSM
166,YEM
167,ZAF
168,ZMB
169,ZWE
